ethnic_sentiment,rural,unemployed,male,education,age,age_sq,dist_match,post_victory,country_match_fe,country_year_fe,language_year_id,future_victory,day,month,dayweek
National id only,1,1,0,5,29,841,12,0,2547,27,202,1,20,5,2
National and ethnic ids equal,1,1,1,0,29,841,14,0,2547,27,202,1,18,5,0
National id only,1,1,0,8,28,784,15,0,2547,27,202,1,17,5,6
Ethnic id more than national,0,1,1,5,19,361,4,0,1386,15,201,1,31,8,3
National id only,0,1,1,3,20,400,4,0,1386,15,201,1,31,8,3
Ethnic id more than national,0,1,0,5,27,729,15,0,2547,27,202,1,17,5,6
National id only,1,0,0,5,19,361,11,0,2547,27,202,1,21,5,3
National and ethnic ids equal,0,0,1,5,18,324,2,0,1386,15,201,1,2,9,5
Ethnic id more than national,1,0,1,8,34,1156,3,0,1386,15,201,1,1,9,4
Ethnic id only,0,0,0,5,26,676,1,0,1386,15,201,1,3,9,6
National and ethnic ids equal,1,1,1,4,39,1521,14,0,2547,27,202,1,18,5,0
Ethnic id more than national,0,1,0,5,41,1681,4,0,1386,15,201,1,31,8,3
Ethnic id more than national,1,0,0,0,60,3600,14,0,2547,27,203,1,18,5,0
National and ethnic ids equal,1,0,0,6,35,1225,15,0,2547,27,203,1,17,5,6
Ethnic id more than national,1,1,0,5,22,484,14,0,2547,27,203,1,18,5,0
National and ethnic ids equal,1,0,1,0,70,4900,14,0,2547,27,203,1,18,5,0
National and ethnic ids equal,1,0,1,1,27,729,14,0,2547,27,203,1,18,5,0
National and ethnic ids equal,1,0,1,5,20,400,14,0,2547,27,203,1,18,5,0
National id only,0,0,1,6,25,625,15,0,2547,27,203,1,17,5,6
Ethnic id more than national,1,0,0,2,35,1225,14,0,2547,27,203,1,18,5,0
National id only,1,1,0,3,26,676,13,0,2547,27,204,1,19,5,1
Ethnic id more than national,1,0,1,4,20,400,-2,1,1386,15,205,0,6,9,2
National id more than ethnic,1,0,0,0,21,441,-2,1,1386,15,205,0,6,9,2
National and ethnic ids equal,1,0,1,0,32,1024,-2,1,1386,15,205,0,6,9,2
Ethnic id more than national,1,0,1,5,42,1764,-2,1,1386,15,205,0,6,9,2
Ethnic id only,1,1,1,3,22,484,-2,1,1386,15,205,0,6,9,2
Ethnic id more than national,1,1,1,5,45,2025,-2,1,1386,15,205,0,6,9,2
Ethnic id only,1,0,0,4,22,484,-2,1,1386,15,205,0,6,9,2
National and ethnic ids equal,1,0,1,5,40,1600,-4,1,1386,15,205,0,8,9,4
Ethnic id only,1,1,0,6,29,841,-2,1,1386,15,205,0,6,9,2
Ethnic id only,1,0,0,5,29,841,-2,1,1386,15,205,0,6,9,2
Ethnic id only,1,1,0,4,29,841,-2,1,1386,15,205,0,6,9,2
National id only,1,0,1,8,28,784,11,0,2547,27,206,1,21,5,3
National id more than ethnic,1,1,0,4,25,625,11,0,2547,27,206,1,21,5,3
National id more than ethnic,1,0,0,5,50,2500,11,0,2547,27,206,1,21,5,3
National and ethnic ids equal,1,0,0,6,40,1600,11,0,2547,27,206,1,21,5,3
National and ethnic ids equal,1,0,1,5,23,529,11,0,2547,27,206,1,21,5,3
National and ethnic ids equal,1,0,0,5,32,1024,11,0,2547,27,206,1,21,5,3
National and ethnic ids equal,1,0,1,6,36,1296,11,0,2547,27,206,1,21,5,3
National and ethnic ids equal,1,0,1,4,28,784,11,0,2547,27,206,1,21,5,3
National and ethnic ids equal,0,0,0,6,34,1156,4,0,4596,46,209,0,17,1,4
National and ethnic ids equal,0,0,1,7,25,625,15,0,2547,27,208,1,17,5,6
National and ethnic ids equal,0,0,0,4,18,324,4,0,1386,15,207,1,31,8,3
National and ethnic ids equal,0,0,1,5,41,1681,15,0,2547,27,208,1,17,5,6
National id more than ethnic,0,0,0,5,29,841,13,0,2547,27,208,1,19,5,1
National and ethnic ids equal,1,0,1,6,32,1024,14,0,2547,27,208,1,18,5,0
National id more than ethnic,0,0,1,6,24,576,12,0,2547,27,236,1,20,5,2
National and ethnic ids equal,1,0,0,1,60,3600,15,0,2547,27,236,1,17,5,6
Ethnic id more than national,0,0,0,4,28,784,15,0,2547,27,236,1,17,5,6
Ethnic id more than national,1,1,1,4,31,961,11,0,2547,27,236,1,21,5,3
Ethnic id more than national,1,0,0,3,25,625,11,0,2547,27,236,1,21,5,3
Ethnic id more than national,1,0,1,6,59,3481,11,0,2547,27,236,1,21,5,3
National and ethnic ids equal,1,0,0,4,20,400,11,0,2547,27,236,1,21,5,3
National and ethnic ids equal,1,0,1,5,33,1089,11,0,2547,27,236,1,21,5,3
Ethnic id more than national,1,0,0,4,18,324,11,0,2547,27,236,1,21,5,3
National and ethnic ids equal,1,1,1,5,40,1600,11,0,2547,27,236,1,21,5,3
National and ethnic ids equal,1,1,0,6,19,361,11,0,2547,27,236,1,21,5,3
Ethnic id more than national,0,0,0,3,19,361,3,0,1386,15,270,1,1,9,4
National id only,1,0,0,4,18,324,13,0,2547,27,271,1,19,5,1
National and ethnic ids equal,1,0,1,1,55,3025,10,0,2547,27,271,1,22,5,4
Ethnic id more than national,1,0,0,6,25,625,11,0,2547,27,271,1,21,5,3
National id more than ethnic,1,0,0,6,24,576,1,0,1386,15,270,1,3,9,6
National and ethnic ids equal,0,0,1,6,27,729,3,0,1386,15,270,1,1,9,4
Ethnic id more than national,1,0,0,1,19,361,1,0,1386,15,270,1,3,9,6
National id only,1,0,0,2,19,361,15,0,2547,27,271,1,17,5,6
National and ethnic ids equal,0,0,1,6,62,3844,-4,1,1386,15,270,0,8,9,4
National and ethnic ids equal,1,0,1,3,34,1156,3,0,1386,15,270,1,1,9,4
Ethnic id more than national,1,1,0,0,20,400,15,0,2547,27,271,1,17,5,6
Ethnic id only,1,0,0,4,36,1296,4,0,4596,46,273,0,17,1,4
National and ethnic ids equal,1,0,1,4,25,625,11,0,2547,27,271,1,21,5,3
National and ethnic ids equal,1,0,0,1,20,400,14,0,2547,27,271,1,18,5,0
National and ethnic ids equal,0,1,1,5,28,784,-3,1,1386,15,270,0,7,9,3
Ethnic id more than national,1,0,1,5,53,2809,13,0,2547,27,271,1,19,5,1
National and ethnic ids equal,1,0,1,3,48,2304,13,0,2547,27,271,1,19,5,1
National and ethnic ids equal,1,0,1,0,53,2809,12,0,2547,27,271,1,20,5,2
Ethnic id more than national,1,0,1,5,30,900,1,0,1386,15,270,1,3,9,6
National and ethnic ids equal,1,0,0,2,36,1296,12,0,2547,27,271,1,20,5,2
National id more than ethnic,0,1,0,4,18,324,13,0,2547,27,271,1,19,5,1
National and ethnic ids equal,0,0,1,1,48,2304,4,0,1386,15,270,1,31,8,3
National and ethnic ids equal,0,0,0,3,25,625,3,0,1386,15,270,1,1,9,4
National and ethnic ids equal,1,0,0,5,31,961,2,0,1386,15,270,1,2,9,5
National and ethnic ids equal,0,1,0,4,21,441,15,0,2547,27,271,1,17,5,6
Ethnic id more than national,1,1,0,1,25,625,9,0,2547,27,271,1,23,5,5
National id only,0,0,1,8,40,1600,15,0,2547,27,271,1,17,5,6
National and ethnic ids equal,0,0,0,1,20,400,12,0,2547,27,271,1,20,5,2
National and ethnic ids equal,1,0,1,6,27,729,9,0,2547,27,271,1,23,5,5
Ethnic id more than national,1,0,0,1,20,400,10,0,2547,27,271,1,22,5,4
National and ethnic ids equal,1,0,0,1,30,900,14,0,2547,27,271,1,18,5,0
National id more than ethnic,0,0,1,5,21,441,4,0,1386,15,270,1,31,8,3
National and ethnic ids equal,0,1,0,1,30,900,-4,1,1386,15,270,0,8,9,4
National and ethnic ids equal,0,1,1,3,28,784,5,0,1386,15,270,1,30,8,2
National and ethnic ids equal,0,0,1,6,38,1444,4,0,1386,15,270,1,31,8,3
National and ethnic ids equal,1,0,1,4,28,784,-1,1,1386,15,270,0,5,9,1
National and ethnic ids equal,0,0,1,1,30,900,12,0,2547,27,271,1,20,5,2
National id more than ethnic,1,0,0,1,50,2500,11,0,2547,27,271,1,21,5,3
National and ethnic ids equal,0,0,0,0,35,1225,4,0,1386,15,270,1,31,8,3
National id more than ethnic,0,0,1,5,51,2601,5,0,1386,15,270,1,30,8,2
