ln_uwe , ln_ahe , age , sex , race , years_ed
5.0359531021 , 1.347073648 , 40 , 2 , 1 , 12
5.8483637035 , 2.2107775437 , 32 , 2 , 1 , 12
6.2523484264 , 2.1580038642 , 33 , 1 , 1 , 12
6.5581159664 , 2.7514534766 , 42 , 2 , 1 , 18
5.2590966534 , 1.5702171993 , 38 , 2 , 1 , 15
6.1219866085 , 2.0276420463 , 41 , 1 , 1 , 12
4.4228486292 , 0.7339691751 , 47 , 2 , 1 , 11
5.8736815115 , 2.1848020573 , 32 , 1 , 1 , 12
7.4041921653 , 3.7153127112 , 31 , 2 , 1 , 15
5.7897249045 , 2.1008454503 , 37 , 2 , 1 , 12
6.3238073904 , 2.411784385 , 49 , 1 , 1 , 18
5.7291002826 , 2.0402208285 , 42 , 1 , 2 , 16
6.7287666234 , 3.0398871693 , 40 , 2 , 1 , 18
4.605170186 , 3.5065578973 , 39 , 2 , 1 , 15
5.3482972989 , 2.1702434685 , 44 , 2 , 1 , 12
6.0909941425 , 2.178971137 , 47 , 2 , 1 , 16
5.2590966534 , 1.347073648 , 37 , 1 , 1 , 13
5.9914645471 , 2.302585093 , 28 , 1 , 1 , 12
5.6645617615 , 1.9756823074 , 25 , 2 , 1 , 15
6.5932552601 , 2.904375806 , 49 , 2 , 1 , 16
5.2276059863 , 1.5387265322 , 45 , 2 , 2 , 13
5.3391393611 , 1.650259907 , 27 , 1 , 1 , 6
